# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-2545.599764,1000,108.244614
-40.231366,16,108.259626
-68.505543,30,108.287448
-239.714021,95,108.371097
-51.269718,21,108.390708
-32.641237,18,108.407632
-119.948966,33,108.437541
-204.153932,66,108.496642
-2469.837839,1000,109.399975
-151.319592,54,109.448862
-323.693894,123,109.557435
-81.753688,29,109.583742
-34.350267,14,109.596912
-176.738219,43,109.635471
-382.896314,173,109.787206
-141.859375,64,109.844425
-228.77213,74,109.91106
-205.614532,89,109.988259
-109.329717,51,110.034044
-111.445291,42,110.072792
-21.927396,12,110.084578
-51.785863,20,110.103245
-255.324369,88,110.179436
-184.067001,68,110.240782
-83.051447,39,110.282927
-88.260947,43,110.331422
-153.681836,60,110.397954
-2755.751934,1000,111.513906
-115.727056,40,111.558619
-131.245417,54,111.618595
-51.332898,14,111.634573
-69.634333,30,111.668447
-53.097696,22,111.693711
-221.944149,86,111.786199
-169.310172,81,111.875874
-83.793893,24,111.903186
-173.708851,62,111.969175
-38.840331,15,111.986609
-55.880706,25,112.015313
-26.808516,18,112.035408
-469.544903,219,112.273019
-85.568753,20,112.295165
-133.215243,56,112.360601
-197.052019,59,112.423103
-59.069031,30,112.456669
-293.914835,104,112.574502
-112.982396,49,112.627747
-25.426661,12,112.641433
-2504.285138,1000,113.759777
-59.556676,25,113.788242
-166.633214,38,113.830593
-137.899108,59,113.895945
-51.765358,14,113.911908
-289.525896,135,114.056545
-416.600741,140,114.206663
-244.049208,77,114.289653
-128.260218,61,114.358033
-21.664416,16,114.376209
-2499.207679,984,115.475029
-144.312784,53,115.534239
-587.821321,246,115.801193
-47.684725,18,115.822068
-117.187017,40,115.866728
-194.691216,75,115.950174
-70.57275,29,115.982042
-145.052607,58,116.044493
-113.934674,49,116.099307
-58.647136,26,116.128953
-231.316736,100,116.238603
-64.737314,25,116.266427
-153.721237,81,116.35468
-113.781582,50,116.41126
-211.683118,92,116.510902
-388.241658,129,116.653953
-69.459146,30,116.68644
-71.395243,22,116.710806
-103.313542,71,116.788454
-91.389458,31,116.823065
-90.77906,28,116.854667
-134.113479,64,116.922487
-58.065881,21,116.946186
-51.919807,18,116.96668
-134.625513,54,117.027308
-188.905129,72,117.107208
-243.070897,74,117.186209
-165.598538,88,117.282479
-79.559809,46,117.333826
-45.260009,13,117.348062
-134.346052,60,117.41486
-45.60025,17,117.434337
-37.563694,12,117.448417
-299.486561,120,117.579817
-98.832093,44,117.62729
-33.926985,14,117.643414
-52.412637,24,117.670229
-31.55995,25,117.69836
-146.844966,53,117.757009
-127.620554,36,117.796907
-84.307457,33,117.831683
-249.147923,96,117.938515
-414.440879,177,118.131915
-88.243771,35,118.170385
